date,PriceUSD,CapMrktCurUSD,CapMVRVCur,SplyCur,IssTotUSD,IssTotNtv,HashRate,AdrActCnt
2021-01-20,149.559338386746,9995070323.12703510732189032772,1.78648061,66830131.97932682,1086174.695033742825,7262.5,297.06115888565927,157824
2021-01-21,131.225301011894,8770707999.2656201182458826756,1.57392663,66837019.4743974,903814.260719419925,6887.5,281.722372712562,155743
2021-01-22,137.887821504431,9216958989.15191319032966857627,1.65024341,66843894.46863317,947978.772842963125,6875,281.2110798401254,140692
2021-01-23,137.664312086863,9203056393.52784162549444571161,1.64430685,66851431.96532247,1037644.7523547298625,7537.5,303.33898106271164,140937
2021-01-24,140.764864923681,9411358614.22861086040491385305,1.67936331,66858719.46334905,1025823.9531313252875,7287.5,292.2763858075861,138869
2021-01-25,137.392844422433,9186977870.30852973883799450903,1.64036215,66866494.45921591,1068229.365384416575,7775,311.8283224225018,158930
2021-01-26,135.26318620742,9045547294.0158859968142476164,1.61458945,66873681.95027542,972204.15086583125,7187.5,293.59711987587485,162545
2021-01-27,122.783667050949,8211843106.08323229293167211727,1.46949475,66880581.94805123,847207.3026515481,6900,287.9249356654591,163231
2021-01-28,134.352303623205,8986475527.32997961150505070635,1.60842453,66887394.44716047,915275.0684330840625,6812.5,284.27371365520884,166268
2021-01-29,134.904035812356,9024286684.16260018954856400876,1.61570961,66894119.43698171,907229.6408380941,6725,280.62249164495853,196500
2021-01-30,133.474925008821,8929635246.92373697390995753234,1.59855432,66901219.43378954,947671.9675626291,7100,282.6780749280974,176044
2021-01-31,129.779675792711,8683419493.32118388116963934023,1.55459314,66908931.92852993,1000925.7495512835875,7712.5,303.19229712259073,169771
2021-02-01,132.619334970747,8874465748.65388366484743806723,1.58811326,66916831.92810009,1047692.7462689013,7900,310.56326058586257,179811
2021-02-02,143.072456529602,9574953455.63260422504645422324,1.69605093,66923806.91493562,997930.38429397395,6975,281.4398093272473,198821
2021-02-03,155.80169696784,10427923558.5600195540682356864,1.83659949,66930744.41103496,1080874.27271439,6937.5,289.3986046303,195234
2021-02-04,146.620094152422,9814416554.01987613218985515564,1.72794674,66937731.90335762,1024507.907890048725,6987.5,291.484360005622951573455817295879588060208,200972
2021-02-05,154.447522123038,10339490433.51645983437403350074,1.813288,66945006.89547923,1123605.72344510145,7275,303.477456667527909291172119201408310819376,219900
